cif,a,b,c,alpha,beta,gamma,sg,cs
2002270,10.189,7.725,9.032,90.0,90.0,90.0,33,2
2002271,6.049,15.84,5.81,90.0,90.0,90.0,46,2
2002274,10.434,10.434,8.794,90.0,90.0,120.0,173,5
2002275,13.26,13.26,13.26,90.0,90.0,90.0,205,6
2002276,3.777,3.777,12.96,90.0,90.0,90.0,139,3
2002277,3.842,3.842,12.338,90.0,90.0,90.0,139,3
2002278,12.589,12.589,4.009,90.0,90.0,90.0,100,3
2002281,9.51,3.11,10.83,90.0,90.0,90.0,62,2
2002282,10.08,11.91,3.4,90.0,90.0,90.0,62,2
2002284,8.447,8.816,5.163,90.0,93.42,90.0,4,1
2002285,14.03,3.536,8.717,90.0,100.1,90.0,12,1
2002287,5.489,5.489,13.306,90.0,90.0,90.0,139,3
2002288,10.1,11.98,3.45,90.0,90.0,90.0,62,2
2002290,13.263,13.263,13.263,90.0,90.0,90.0,205,6
2002292,3.767,5.073,3.749,90.0,90.0,101.5,4,1
2002293,13.44,13.44,13.44,90.0,90.0,90.0,205,6
2002294,4.726,4.726,3.054,90.0,90.0,90.0,136,3
2002295,5.718,5.718,11.613,90.0,90.0,120.0,156,4
2002296,5.268,8.458,5.07,90.0,118.78,90.0,1,0
2002299,5.634,5.634,22.07999,90.0,90.0,120.0,194,5
2002300,5.658,5.658,22.17999,90.0,90.0,120.0,194,5
2002301,3.631,9.574,9.785,90.0,90.0,90.0,63,2
2002303,17.59999,17.59999,3.35,90.0,90.0,120.0,176,5
2002304,22.129,4.876,8.417,90.0,90.0,90.0,58,2
2002305,6.524,3.546,11.754,90.0,92.32,90.0,12,1
2002307,4.6065,4.6065,2.985,90.0,90.0,90.0,136,3
2002308,3.732,9.718,10.069,90.0,90.0,90.0,63,2
2002309,3.581,16.362,3.915,90.0,90.0,90.0,63,2
2002310,5.54,5.54,14.559,90.0,90.0,90.0,139,3
2002311,4.702,17.09399,5.07,90.0,90.0,90.0,60,2
2002312,14.208,5.726,5.04,90.0,90.0,90.0,60,2
2002313,7.959,8.431,5.986,90.0,90.0,90.0,55,2
2002315,10.125,10.125,7.328,90.0,90.0,120.0,173,5
2002316,14.032,5.687,5.033,90.0,90.0,90.0,60,2
2002317,4.71,4.71,3.038,90.0,90.0,90.0,136,3
2002319,3.745,9.728,9.99,90.0,90.0,90.0,63,2
2002320,6.03,6.03,24.75299,90.0,90.0,120.0,146,4
2002322,9.256,3.508,6.626,90.0,111.55,90.0,5,1
2002323,3.905,10.203,14.954,90.0,90.0,90.0,38,2
2002324,13.901,3.502,8.606,90.0,100.4,90.0,12,1
2002325,6.502,3.524,5.845,90.0,92.3,90.0,11,1
2002326,12.35,10.698,3.405,90.0,90.0,90.0,33,2
2002327,12.041,10.452,3.22,90.0,90.0,90.0,33,2
