cif,a,b,c,alpha,beta,gamma,sg,cs
1000022,5.38,5.44,7.639,90.0,90.0,90.0,62,2
1000044,4.799,4.799,4.799,90.0,90.0,90.0,225,6
1000045,3.5862,3.5862,4.8801,90.0,90.0,120.0,164,4
1000050,3.634,3.634,3.634,90.0,90.0,90.0,221,6
1000051,5.487,5.487,9.156,90.0,90.0,120.0,160,4
1000053,4.217,4.217,4.217,90.0,90.0,90.0,225,6
1000056,5.97,8.125,10.48,90.0,90.0,90.0,74,2
1000058,4.4968,4.4968,3.1049,90.0,90.0,90.0,136,3
1000062,4.738,4.738,3.1865,90.0,90.0,90.0,136,3
1000063,4.252,4.252,4.252,90.0,90.0,90.0,224,6
1000067,4.6664,17.4435,4.9941,90.0,90.0,90.0,60,2
1000071,13.335,4.08,3.8362,90.0,90.0,90.0,71,2
1000075,6.9109,6.9109,4.3557,90.0,90.0,90.0,129,3
1000091,8.6633,8.6633,16.5252,90.0,90.0,90.0,87,3
1000094,7.13,4.791,8.825,90.16,102.13,94.19,2,0
1000096,20.44,20.44,20.44,90.0,90.0,90.0,203,6
1000108,7.8974,7.9076,14.7227,90.0,90.0,90.0,62,2
1000111,9.7308,4.2042,11.0656,90.0,105.781,90.0,12,1
1000113,6.83,9.233,8.817,90.0,90.0,90.0,29,2
1000115,12.872,12.872,4.9772,90.0,90.0,120.0,186,5
1000124,5.5703,6.6741,7.9032,96.174,90.26,101.273,2,0
1000134,10.176,10.176,8.4121,90.0,90.0,120.0,176,5
1000141,4.9005,8.4892,5.1816,90.0,90.0,90.0,52,2
1000147,11.882,6.983,6.942,90.0,125.59,90.0,11,1
1000148,7.9911,17.03189,5.3208,90.0,99.433,90.0,14,1
1000158,8.586,6.291,7.381,90.0,115.46,90.0,15,1
1000163,10.506,10.506,10.506,90.0,90.0,90.0,227,6
1000167,4.63,4.63,8.935,90.0,90.0,90.0,136,3
1000168,18.542,5.958,7.821,90.0,111.92,90.0,12,1
1000175,11.666,11.666,12.551,90.0,90.0,90.0,120,3
1000176,12.607,12.607,12.607,90.0,90.0,90.0,230,6
1000177,12.693,12.693,12.693,90.0,90.0,90.0,230,6
1000182,5.0875,5.0875,12.7319,90.0,90.0,90.0,140,3
1000184,8.684,8.684,4.657,90.0,90.0,120.0,150,4
1000191,5.892,10.632,6.745,90.0,105.88,90.0,13,1
1000205,7.363,17.527,5.484,90.0,91.5,90.0,14,1
1000215,10.695,9.932,5.654,90.0,118.53,90.0,15,1
1000216,10.695,9.932,5.654,90.0,118.53,90.0,9,1
1000229,6.182,6.182,12.957,90.0,90.0,120.0,163,4
1000230,7.475,10.766,6.594,90.0,90.0,90.0,44,2
1000231,7.451,10.747,6.524,90.0,90.0,90.0,44,2
1000232,12.124,7.344,6.924,90.0,120.59,90.0,15,1
1000233,3.867,3.867,7.656,90.0,90.0,90.0,99,3
1000235,10.491,8.09,7.997,90.0,90.0,90.0,60,2
1000236,10.257,10.257,10.257,90.0,90.0,90.0,199,6
1000239,4.679,4.679,9.324,90.0,90.0,90.0,102,3
1000242,6.523,6.523,5.831,90.0,90.0,90.0,127,3
1000245,7.793,7.7398,7.7435,86.585,87.046,86.138,2,0
1000251,5.662,5.809,8.758,90.0,90.0,90.0,74,2
1000252,7.541,7.501,13.027,90.0,90.52,90.0,15,1
1000255,7.78,8.423,4.993,90.0,96.48,90.0,11,1
1000257,7.2338,10.305,7.4529,90.0,90.0,90.0,74,2
1000268,5.2517,5.251,13.1539,90.0,90.0,90.0,65,2
1000284,13.207,5.68,10.321,90.0,90.0,90.0,62,2
1000298,13.005,6.4748,10.614,90.0,90.0,90.0,33,2
1000305,5.5676,9.2937,9.5858,90.0,93.201,90.0,14,1
1000306,5.4053,9.3103,10.3823,90.0,90.0,90.0,19,2
1000326,4.7496,17.606,5.0617,90.0,90.0,90.0,60,2
1000333,12.5858,7.4955,5.8116,90.0,90.0,90.0,74,2
1000337,14.693,5.8551,7.922,90.0,114.11,90.0,15,1
1000339,8.7404,8.7404,8.136,90.0,90.0,90.0,100,3
1000346,6.6,8.048,9.759,106.08,103.72,102.28,2,0
1000355,5.935,10.282,13.368,90.0,106.78,90.0,7,1
1000358,7.92,27.60799,7.375,90.0,90.0,90.0,43,2
1000370,10.945,10.945,14.756,90.0,90.0,120.0,185,5
1000372,3.972,5.038,9.005,90.0,90.0,90.0,26,2
1000373,6.399,3.59,7.22,90.0,110.29,90.0,4,1
1000376,20.118,5.597,9.44,89.75,105.79,89.38,2,0
1000391,7.766,5.844,8.932,90.0,106.64,90.0,11,1
1000394,4.8866,8.531,9.582,90.0,90.0,90.0,57,2
1000403,5.365,6.95,7.433,65.05,70.26,73.19,2,0
1000407,5.1418,5.1418,12.807,90.0,90.0,90.0,140,3
1000411,18.17,6.652,10.328,90.0,117.1,90.0,15,1
1000413,14.13,14.13,14.13,90.0,90.0,90.0,205,6
1000414,5.468,5.535,12.547,90.0,90.0,90.0,50,2
1000417,8.9295,8.9295,5.0642,90.0,90.0,120.0,150,4
1000419,12.506,3.6406,9.902,90.0,90.0,90.0,62,2
1000421,4.1974,14.546,5.8391,90.0,90.0,90.0,36,2
1000425,6.473,7.853,10.718,90.0,90.0,90.0,74,2
1000430,5.207,12.216,7.037,90.0,103.0,90.0,14,1
1000434,6.012,6.012,9.776,90.0,90.0,120.0,186,5
1000437,3.8741,3.8741,7.7459,90.0,90.0,90.0,123,3
1000439,7.6651,7.6316,6.2789,90.0,90.0,90.0,57,2
1000442,4.8437,8.33,8.9547,90.0,90.0,90.0,33,2
1000445,6.3385,7.6191,11.0298,90.0,90.0,90.0,62,2
1000447,7.602,5.766,8.788,90.0,106.72,90.0,11,1
1000449,7.749,5.771,8.95,90.0,106.8,90.0,11,1
1000456,7.2285,7.2252,6.2624,90.0,90.0,90.0,59,2
1000466,9.826,9.826,10.106,90.0,90.0,120.0,148,4
1000467,4.9305,4.9305,12.4462,90.0,90.0,120.0,167,4
1000468,5.168,5.168,13.438,90.0,90.0,120.0,167,4
1000474,9.0268,9.0268,13.684,90.0,90.0,120.0,155,4
1000475,7.21,12.398,7.333,90.0,90.0,90.0,63,2
1000476,5.362,5.362,5.362,57.94,57.94,57.94,167,4
1000482,6.703,6.703,5.63,90.0,90.0,90.0,84,3
1000484,13.469,4.0262,9.448,90.0,133.42,90.0,12,1
1000498,5.5075,10.9584,9.1427,90.0,94.568,90.0,14,1
1001007,8.753,8.753,3.966,90.0,90.0,120.0,157,4
1001010,7.551,13.005,7.734,90.0,90.0,90.0,20,2
1001027,9.153,9.153,12.066,90.0,90.0,120.0,193,5
1001060,10.279,10.279,10.279,90.0,90.0,90.0,227,6
1001081,6.447,3.797,18.431,90.0,90.0,90.0,62,2
1001085,6.456,3.806,18.844,90.0,90.0,90.0,62,2
1001090,5.5876,5.5876,13.867,90.0,90.0,120.0,161,4
1001091,4.745,4.745,9.305,90.0,90.0,90.0,136,3
1001094,8.361,8.361,8.361,90.0,90.0,90.0,225,6
1001102,9.001,9.001,7.734,90.0,90.0,120.0,189,5
1001109,6.9444,12.7561,4.2526,90.0,90.0,90.0,55,2
1001120,12.082,12.082,10.181,90.0,90.0,120.0,165,4
1001130,3.8064,15.692,2.985,90.0,90.0,90.0,36,2
1001132,8.379,8.379,8.379,90.0,90.0,90.0,225,6
1001135,12.89,12.725,12.654,90.0,90.0,90.0,61,2
1001136,10.169,10.169,14.182,90.0,90.0,120.0,192,5
1001138,10.151,10.151,14.288,90.0,90.0,120.0,192,5
1001142,10.155,10.155,14.158,90.0,90.0,120.0,192,5
1001151,4.667,4.667,9.129,90.0,90.0,90.0,136,3
1001161,7.858,9.193,8.189,90.0,119.95,90.0,14,1
1001162,7.42,7.42,3.881,90.0,90.0,120.0,189,5
1001180,6.2277,6.2277,6.2277,99.01,99.01,99.01,148,4
1001186,3.96,3.96,3.96,90.0,90.0,90.0,221,6
1001188,8.71,8.71,8.71,90.0,90.0,90.0,227,6
1001189,8.76,8.76,8.76,90.0,90.0,90.0,227,6
1001196,5.005,5.005,10.452,90.0,90.0,90.0,121,3
1001208,8.903,21.16,3.799,90.0,90.0,90.0,63,2
1001221,7.132,12.181,5.658,90.0,90.0,90.0,62,2
1001222,7.226,12.321,5.724,90.0,90.0,90.0,62,2
1001224,9.312,5.755,5.105,90.0,90.0,90.0,36,2
1001227,5.796,5.796,9.466,90.0,90.0,120.0,186,5
1001228,5.703,5.703,9.392,90.0,90.0,120.0,186,5
1001231,8.398,8.398,8.398,90.0,90.0,90.0,227,6
1001236,10.7433,14.0839,8.8519,90.0,126.42,90.0,15,1
1001250,7.068,12.324,5.706,90.0,90.0,90.0,62,2
1001259,5.577,5.577,22.003,90.0,90.0,120.0,194,5
1001267,10.478,10.478,10.478,90.0,90.0,90.0,227,6
1001275,9.035,9.035,7.79,90.0,90.0,120.0,189,5
1001287,10.045,18.32,4.128,90.0,90.0,90.0,55,2
1001289,6.077,6.077,9.829,90.0,90.0,120.0,186,5
1001290,6.011,6.011,9.815,90.0,90.0,120.0,186,5
1001294,8.286,9.408,7.987,90.0,101.3,90.0,9,1
1001296,8.077,9.088,7.534,90.0,100.3,90.0,9,1
1001302,9.188,9.188,8.123,90.0,90.0,120.0,189,5
1001338,7.43,8.7,10.668,90.0,105.08,90.0,14,1
1001342,8.836,9.255,12.288,90.0,90.0,90.0,57,2
1001352,5.523,10.761,3.811,90.0,90.0,90.0,55,2
1001354,7.4314,7.4314,7.4314,90.0,90.0,90.0,204,6
1001368,7.994,7.994,16.513,90.0,90.0,120.0,163,4
1001370,5.172,5.172,13.847,90.0,90.0,120.0,146,4
1001380,8.846,8.846,10.01,56.488,55.588,68.868,15,1
1001386,11.86,5.516,6.928,90.0,90.0,90.0,62,2
1001393,8.818,9.1574,12.3836,90.0,90.0,90.0,57,2
1001394,8.415,5.215,11.19,77.77,77.77,73.11,2,0
1001397,5.6479,5.6672,7.9859,90.0,90.1,90.0,15,1
1001415,12.999,12.999,12.999,90.0,90.0,90.0,205,6
1001437,9.285,10.869,3.02,90.0,90.0,90.0,62,2
1001451,4.8229,8.0813,6.9419,90.0,109.387,90.0,4,1
1001469,8.4088,8.4088,8.4088,90.0,90.0,90.0,225,6
1001474,5.5564,5.8296,8.0085,90.0,90.07,90.0,14,1
1001499,10.0411,11.6975,3.4006,90.0,90.0,90.0,62,2
1001516,10.8135,10.6407,9.821,90.0,103.629,90.0,15,1
1001519,5.187,7.959,17.187,90.0,92.74,90.0,14,1
1001523,3.8798,3.8798,12.2573,90.0,90.0,90.0,123,3
1001539,7.7178,13.3233,6.287,90.0,99.49,90.0,14,1
1001542,5.2204,9.1702,16.3247,90.0,92.757,90.0,14,1
1001555,9.896,9.896,9.896,90.0,90.0,90.0,198,6
1001561,12.485,12.485,12.485,90.0,90.0,90.0,230,6
1001599,8.288,6.43,10.648,90.0,112.83,90.0,11,1
1001611,7.475,7.475,11.156,90.0,90.0,90.0,121,3
1001619,4.3822,4.3822,4.3822,90.0,90.0,90.0,229,6
1001625,13.144,8.102,7.082,90.0,90.0,90.0,62,2
1001646,6.349,7.869,9.324,105.32,108.66,101.23,2,0
1001660,8.0058,8.0058,8.0058,90.0,90.0,90.0,225,6
1001661,7.944,5.6866,11.4059,90.0,90.0,90.0,62,2
1001669,4.848,6.892,8.077,92.65,93.26,106.23,2,0
1001670,4.804,7.113,7.898,89.78,92.62,106.1,2,0
1001682,12.169,3.005,9.414,90.0,125.06,90.0,12,1
1001686,7.23,7.23,6.539,90.0,90.0,90.0,141,3
1001712,5.4604,5.5227,12.211,90.0,90.0,90.0,26,2
1001718,5.663,5.663,20.95499,90.0,90.0,120.0,166,4
1001720,8.981,8.981,7.84,90.0,90.0,120.0,189,5
1001742,10.152,10.152,14.28,90.0,90.0,120.0,192,5
1001745,8.771,10.16,3.784,90.0,90.0,90.0,59,2
1001756,4.3499,4.3499,25.36699,90.0,90.0,90.0,139,3
1001774,8.215,8.215,8.215,76.04,76.04,76.04,148,4
1001783,7.84,9.11,4.67,95.04,96.94,107.72,2,0
1001801,5.031,5.074,5.858,90.0,90.0,91.48,13,1
1001827,5.4833,5.7043,7.7842,90.0,90.0,90.0,14,1
1001833,6.758,6.339,7.054,90.0,110.13,90.0,11,1
1001835,5.893,7.469,12.07,90.0,90.0,90.0,60,2
1001837,8.436,9.594,7.952,90.0,100.65,90.0,9,1
1001839,10.48,10.48,10.48,90.0,90.0,90.0,227,6
1001861,9.046,9.046,27.883,90.0,90.0,120.0,193,5
1004009,6.4024,6.4024,13.358,90.0,90.0,120.0,163,4
1004012,10.2935,10.2935,5.8619,90.0,90.0,120.0,173,5
1004013,4.0698,4.0698,20.154,90.0,90.0,90.0,139,3
1004018,3.83,3.83,11.6,90.0,90.0,90.0,139,3
1004020,6.0,6.0,6.0,54.42,54.42,54.42,148,4
1004021,5.74,5.74,5.74,55.65,55.65,55.65,148,4
1004034,13.905,9.952,7.185,90.0,90.0,90.0,62,2
1004048,6.852,11.984,6.996,90.0,113.38,90.0,14,1
1004051,8.51,8.51,5.814,90.0,90.0,90.0,130,3
1004057,7.298,7.298,3.899,90.0,90.0,120.0,191,5
1004058,7.758,17.587,7.356,90.0,119.91,90.0,9,1
1004072,7.891,10.39,10.39,90.0,90.0,90.0,52,2
1004081,13.957,13.858,7.095,90.0,112.8,90.0,15,1
1004084,9.115,7.941,6.306,90.0,90.0,90.0,55,2
1004089,10.176,10.176,10.176,90.0,90.0,90.0,227,6
1004090,10.213,10.213,10.213,90.0,90.0,90.0,227,6
1004092,18.71,7.18,5.429,90.0,90.0,90.0,62,2
1004100,5.468,6.667,9.156,110.58,100.87,98.01,2,0
1004105,11.776,5.173,7.7903,90.0,90.0,90.0,62,2
1004108,7.1664,11.206,5.1732,90.0,107.28,90.0,14,1
1004113,14.728,5.698,8.067,90.0,115.15,90.0,15,1
1004116,9.302,5.969,8.118,90.0,113.96,90.0,11,1
1004145,10.985,5.635,6.452,90.0,105.3,90.0,12,1
1005002,3.5835,3.5835,12.6583,90.0,90.0,90.0,139,3
1005005,9.829,9.829,9.829,90.0,90.0,90.0,205,6
1005006,3.8862,10.2118,10.2624,90.0,90.0,90.0,63,2
1005008,6.7159,6.711,9.5198,90.0,90.0,90.0,62,2
1005010,6.353,13.938,11.507,90.0,90.0,90.0,62,2
1005019,3.8568,3.8568,12.935,90.0,90.0,90.0,139,3
1005020,4.152,4.152,13.055,90.0,90.0,90.0,139,3
1005022,10.708,11.233,16.52699,90.0,90.0,90.0,61,2
1005023,5.723,10.04,26.05899,90.0,90.0,90.0,70,2
1005028,11.773,11.773,5.409,90.0,90.0,90.0,135,3
1005032,6.201,10.511,10.07,90.0,90.0,90.0,52,2
1005038,9.045,13.234,5.388,90.0,90.0,90.0,62,2
1005039,8.657,8.657,7.334,90.0,90.0,90.0,105,3
1005040,7.249,4.21,9.314,90.0,108.87,90.0,11,1
1005044,13.769,8.0412,9.3482,90.0,90.0,90.0,63,2
1005045,8.503,10.284,5.032,90.0,90.0,90.0,63,2
1005050,14.462,5.57,9.478,90.0,102.96,90.0,15,1
1006034,3.7472,5.7293,11.2755,90.0,90.0,90.0,71,2
1006038,12.1583,5.64232,6.9545,90.0,90.0,90.0,62,2
1006039,7.7063,7.6568,5.7889,90.0,90.434,90.0,14,1
1006040,13.7546,6.1406,10.3343,90.0,104.23,90.0,15,1
1006041,13.8323,6.4285,10.4837,90.0,103.98,90.0,15,1
1006055,12.1011,5.6275,7.0793,90.0,90.0,90.0,62,2
1006057,12.0342,5.6003,7.0395,90.0,90.0,90.0,62,2
1006064,3.75453,5.7319,11.2715,90.0,90.0,90.0,71,2
1006074,3.9367,3.9367,15.805,90.0,90.0,90.0,123,3
1006075,3.91275,3.91275,15.7614,90.0,90.0,90.0,123,3
1006078,5.383,5.383,4.277,90.0,90.0,120.0,191,5
1006084,10.796,3.494,12.4546,90.0,90.0,90.0,33,2
1006088,14.097,5.613,5.123,90.0,90.0,90.0,60,2
1006091,5.007,14.1706,5.7547,90.0,91.451,90.0,14,1
1006097,5.6262,7.8396,5.5702,90.0,90.0,90.0,62,2
1006103,13.8015,9.9049,7.0783,90.0,90.0,90.0,62,2
1006119,5.1607,5.1607,8.2822,90.0,90.0,120.0,191,5
1006121,5.1586,5.1586,8.2771,90.0,90.0,120.0,191,5
1006146,5.2101,5.2101,8.2102,90.0,90.0,120.0,191,5
1006157,5.0971,5.0971,3.9309,90.0,90.0,120.0,191,5
1006164,5.3499,6.5949,12.3939,90.0,98.594,90.0,4,1
1007001,4.286,8.618,15.945,90.0,95.68,90.0,14,1
1007010,7.916,12.647,10.672,90.0,110.34,90.0,15,1
1007018,12.444,10.978,9.624,90.0,124.41,90.0,12,1
1007023,7.528,8.09,6.272,113.68,81.56,105.77,2,0
1007029,9.256,8.614,6.152,90.0,90.0,90.0,55,2
1007030,6.968,7.148,6.544,110.82,96.11,91.05,2,0
1007035,4.852,9.553,3.255,90.0,91.96,90.0,11,1
1007043,6.026,6.026,6.026,90.0,90.0,90.0,218,6
1007062,6.77,6.77,6.079,90.0,90.0,120.0,174,5
1007068,4.945,4.945,23.61,90.0,90.0,120.0,148,4
1007081,8.429,8.429,8.429,90.0,90.0,90.0,197,6
1007082,13.81,8.166,9.675,90.0,90.0,90.0,56,2
1007088,7.951,12.645,4.922,90.0,100.92,90.0,14,1
1007091,14.58,14.58,14.58,90.0,90.0,90.0,220,6
1007095,9.734,8.889,4.963,90.0,108.49,90.0,15,1
1007097,9.631,5.416,16.938,90.0,102.6,90.0,15,1
1007137,9.516,5.547,6.572,102.33,106.27,80.13,2,0
1007148,9.061,9.061,10.284,90.0,90.0,90.0,82,3
1007149,4.871,7.073,4.709,90.0,96.24,90.0,11,1
1007171,6.383,7.142,9.953,90.0,95.46,90.0,14,1
1007182,8.506,4.937,8.344,90.0,90.0,90.0,33,2
1007183,8.713,8.836,5.147,90.0,90.0,90.0,62,2
1007196,8.408,7.602,7.566,107.47,106.09,72.64,2,0
1007229,7.147,3.655,15.763,90.0,90.0,90.0,62,2
1007234,8.52,8.52,5.21,90.0,90.0,90.0,100,3
1007235,12.57,12.57,12.57,90.0,90.0,90.0,230,6
1007242,10.94,12.25,7.904,90.0,100.49,90.0,9,1
1007248,11.549,11.549,9.114,90.0,90.0,120.0,159,4
1007256,8.213,8.213,8.213,90.0,90.0,90.0,212,6
1007266,6.886,9.494,6.797,110.07,104.69,86.68,2,0
1008009,9.495,10.15,9.375,90.0,90.0,90.0,62,2
1008010,12.506,12.506,12.506,90.0,90.0,90.0,224,6
1008023,4.11,4.43,7.63,90.0,110.0,90.0,14,1
1008036,4.6964,5.8287,4.8736,91.63,92.44,82.79,2,0
1008039,7.433,7.96,8.038,115.91,99.41,89.31,2,0
1008046,5.92,10.334,4.75,90.0,90.0,91.07,14,1
1008051,9.4907,9.4907,9.4907,90.0,90.0,90.0,201,6
1008052,7.1321,15.0468,14.1771,90.0,99.05,90.0,14,1
1008067,4.871,11.787,5.053,90.0,90.0,90.0,60,2
1008073,3.97,3.544,12.84,90.0,90.0,90.0,71,2
1008074,5.826,5.826,5.826,90.0,90.0,90.0,223,6
1008075,5.747,5.747,5.747,90.0,90.0,90.0,223,6
1008079,5.94,3.42,11.14,90.0,91.05,90.0,12,1
1008082,5.482,8.237,6.147,90.0,90.0,90.0,63,2
1008086,9.95,9.16,6.759,90.0,103.68,90.0,12,1
1008088,3.9335,3.9335,20.853,90.0,90.0,90.0,139,3
1008089,5.227,5.227,8.802,90.0,90.0,120.0,182,5
1008096,5.932,5.932,5.932,90.0,90.0,90.0,225,6
1008098,5.919,5.919,5.919,90.0,90.0,90.0,225,6
1008101,5.894,5.894,5.894,90.0,90.0,90.0,225,6
1008103,6.7296,10.2792,5.1916,100.26,113.73,71.94,2,0
1008109,12.796,7.454,6.034,90.0,90.0,90.0,62,2
1008110,3.896,3.896,3.896,90.0,90.0,90.0,221,6
1008112,6.142,3.437,11.55,90.0,91.5,90.0,12,1
1008124,5.58,14.5,5.34,90.0,90.0,90.0,62,2
1008130,5.609,5.609,12.991,90.0,90.0,90.0,88,3
1008134,7.311,7.311,6.402,90.0,90.0,90.0,141,3
1008135,7.223,7.223,6.33,90.0,90.0,90.0,141,3
1008138,7.143,7.143,6.274,90.0,90.0,90.0,141,3
1008139,7.12,7.12,6.255,90.0,90.0,90.0,141,3
1008140,7.093,7.093,6.23,90.0,90.0,90.0,141,3
1008141,7.058,7.058,6.216,90.0,90.0,90.0,141,3
1008142,7.027,7.027,6.2,90.0,90.0,90.0,141,3
1008143,7.112,7.112,6.251,90.0,90.0,90.0,141,3
1008146,10.66,9.2,3.01,90.0,90.0,90.0,62,2
1008147,12.44,12.44,12.44,90.0,90.0,90.0,230,6
1008148,5.365,5.365,5.365,90.0,90.0,90.0,225,6
1008151,7.897,7.897,6.506,90.0,90.0,90.0,129,3
1008154,5.263,5.52,7.552,90.0,90.0,90.0,62,2
1008155,10.97,11.37,3.93,90.0,90.0,90.0,62,2
1008156,4.315,4.315,6.99,90.0,90.0,90.0,139,3
1008159,5.223,5.516,7.519,90.0,90.0,90.0,62,2
1008160,5.425,5.478,7.694,90.0,90.0,90.0,62,2
1008163,7.46,6.191,9.348,90.0,116.63,90.0,5,1
1008164,7.514,6.107,9.526,90.0,115.2,90.0,14,1
1008166,5.17,5.17,6.295,90.0,90.0,90.0,92,3
1008167,5.585,5.585,5.585,90.0,90.0,90.0,223,6
1008168,6.19,6.19,9.015,90.0,90.0,120.0,151,4
1008170,5.205,5.205,13.236,90.0,90.0,120.0,180,5
1008172,5.256,5.256,13.435,90.0,90.0,120.0,180,5
1008175,10.53,10.44,6.9,90.0,90.0,90.0,43,2
1008180,7.391,7.391,7.391,90.0,90.0,90.0,204,6
1008181,7.383,7.383,7.383,90.0,90.0,90.0,204,6
1008186,8.735,20.297,14.661,90.0,90.0,90.0,66,2
1008187,9.601,11.51,5.202,90.0,90.0,90.0,33,2
1008188,3.898,3.898,6.218,90.0,90.0,120.0,164,4
1008189,4.06,4.06,8.0,90.0,90.0,90.0,92,3
1008190,5.4537,4.857,8.1734,90.0,107.367,90.0,4,1
1008191,5.672,7.136,5.377,90.0,90.0,90.0,33,2
1008194,10.688,10.688,10.688,90.0,90.0,90.0,222,6
1008195,5.552,7.126,32.233,66.94,57.08,108.51,2,0
1008196,5.537,7.132,38.151,66.7,57.12,108.5,2,0
1008199,5.2889,9.1872,10.026,90.0,100.348,90.0,15,1
1008200,5.4218,9.0216,5.4187,90.0,112.709,90.0,15,1
1008203,11.031,11.031,11.031,90.0,90.0,90.0,225,6
1008204,8.698,4.127,10.412,90.0,90.0,90.0,62,2
1008205,7.57,7.159,4.228,107.22,106.18,77.19,12,1
1008208,6.482,6.482,25.664,90.0,90.0,120.0,148,4
1008210,5.843,5.843,13.608,90.0,90.0,120.0,194,5
1008215,5.177,5.177,14.168,90.0,90.0,120.0,165,4
1008216,5.335,5.335,14.32,90.0,90.0,120.0,165,4
1008217,5.756,5.756,5.756,90.0,90.0,90.0,225,6
1008245,5.329,5.329,5.329,90.0,90.0,90.0,205,6
1008246,5.329,5.329,5.329,90.0,90.0,90.0,198,6
1008247,8.606,6.346,6.811,90.0,94.16,90.0,14,1
1008249,3.852,3.852,12.39,90.0,90.0,90.0,139,3
1008252,11.2824,11.2824,11.2824,90.0,90.0,90.0,227,6
1008253,11.2824,11.2824,11.2824,90.0,90.0,90.0,227,6
1008254,4.606,4.606,9.063,90.0,90.0,90.0,136,3
1008255,13.095,13.095,5.658,90.0,90.0,120.0,160,4
1008256,7.449,10.127,6.686,89.25,117.56,108.87,2,0
1008258,3.796,3.796,12.447,90.0,90.0,90.0,139,3
1008265,2.995,4.531,4.397,90.0,90.0,90.0,28,2
1008266,4.714,2.837,4.714,90.0,97.14,90.0,10,1
1008267,10.4414,10.4414,6.3433,90.0,90.0,120.0,148,4
1008268,6.21,6.21,30.0,90.0,90.0,120.0,166,4
1008271,5.271,5.271,8.579,90.0,90.0,120.0,194,5
1008272,5.258,5.258,8.577,90.0,90.0,120.0,194,5
1008273,5.257,5.257,8.576,90.0,90.0,120.0,194,5
1008274,5.254,5.254,8.572,90.0,90.0,120.0,194,5
1008276,4.25,13.99,16.38,90.0,90.0,90.0,63,2
1008278,4.298,14.085,17.222,90.0,90.0,90.0,63,2
1008279,14.166,4.342,12.149,90.0,96.03,90.0,12,1
1008281,3.856,3.856,7.796,90.0,90.0,90.0,123,3
1008282,8.521,8.521,8.521,90.0,90.0,90.0,227,6
1008283,8.549,8.549,8.549,90.0,90.0,90.0,227,6
1008284,10.76,10.76,10.76,90.0,90.0,90.0,216,6
1008288,6.5247,6.5247,6.5247,90.0,90.0,90.0,225,6
1008290,5.9475,5.9475,5.9475,90.0,90.0,90.0,225,6
1008292,5.935,5.935,5.935,90.0,90.0,90.0,225,6
1008293,5.9256,5.9256,5.9256,90.0,90.0,90.0,225,6
1008294,5.9183,5.9183,5.9183,90.0,90.0,90.0,225,6
1008295,5.8977,5.8977,5.8977,90.0,90.0,90.0,225,6
1008296,5.9069,5.9069,5.9069,90.0,90.0,90.0,225,6
1008297,5.9028,5.9028,5.9028,90.0,90.0,90.0,225,6
1008298,5.8988,5.8988,5.8988,90.0,90.0,90.0,225,6
1008299,5.8822,5.8822,5.8822,90.0,90.0,90.0,225,6
1008300,5.8722,5.8722,5.8722,90.0,90.0,90.0,225,6
1008301,5.8641,5.8641,5.8641,90.0,90.0,90.0,225,6
1008302,10.101,10.101,10.101,90.0,90.0,90.0,227,6
1008303,4.8552,8.4088,4.5327,90.0,90.0,90.0,20,2
1008316,7.33,7.05,14.35,90.0,90.0,90.0,61,2
1008318,10.737,10.737,4.179,90.0,90.0,120.0,174,5
1008319,9.158,12.144,6.729,90.0,90.0,90.0,33,2
1008323,13.772,13.772,13.772,90.0,90.0,90.0,225,6
1008324,13.772,13.772,27.544,90.0,90.0,90.0,142,3
1008334,5.395,5.395,4.242,90.0,90.0,120.0,183,5
1008335,6.416,7.727,7.298,90.0,90.0,90.0,33,2
1008338,7.084,11.303,5.394,90.0,113.2,90.0,15,1
1008339,7.223,11.725,5.43,90.0,112.0,90.0,15,1
1008350,20.122,20.143,12.142,90.0,90.0,90.0,70,2
1008351,3.825,3.8864,11.6945,90.0,90.0,90.0,47,2
1008356,14.2661,5.7334,5.0495,90.0,90.0,90.0,60,2
1008358,9.151,9.151,9.151,90.0,90.0,90.0,227,6
1008361,5.022,5.022,3.978,90.0,90.0,120.0,191,5
1008362,5.025,5.025,3.991,90.0,90.0,120.0,191,5
1008363,12.574,12.574,12.574,90.0,90.0,90.0,227,6
1008366,8.5476,8.5476,20.9512,90.0,90.0,120.0,167,4
1008367,8.5604,8.5604,21.0219,90.0,90.0,120.0,167,4
1008371,11.977,6.878,13.285,90.0,106.5,90.0,15,1
1008375,6.7572,11.4866,5.5994,90.0,90.0,90.0,36,2
1008376,6.7572,11.4866,5.5994,90.0,90.0,90.0,20,2
1008414,3.8103,3.8789,11.6287,90.0,90.0,90.0,47,2
1008429,14.144,5.995,15.5,90.0,90.0,90.0,62,2
1008431,14.311,5.994,15.618,90.0,90.0,90.0,62,2
1008432,14.615,6.045,15.964,90.0,90.0,90.0,62,2
1008440,4.103,17.04,4.016,90.0,90.0,90.0,63,2
1008442,4.082,16.98,4.004,90.0,90.0,90.0,63,2
1008445,6.6573,6.6573,5.3862,90.0,90.0,90.0,140,3
1008446,6.7357,6.7357,5.4752,90.0,90.0,90.0,140,3
1008447,6.828,6.828,5.6862,90.0,90.0,90.0,140,3
1008449,14.59,14.59,14.59,90.0,90.0,90.0,206,6
1008451,6.243,11.154,7.862,90.0,107.48,90.0,14,1
1008453,8.5271,8.5271,21.32,90.0,90.0,120.0,167,4
